Angle 1,Angle 2,Velocity 1,Velocity 2
-0.19745829375563495,-0.5946809911385496,-1.2240669123449226,-3.9145067473515285
-0.20969896287908418,-0.6338260586120649,-1.2651014210023976,-3.717314811264269
-0.22234997708910817,-0.6709992067247076,-1.3049048899771887,-3.5153924891224455
-0.23539902598888005,-0.7061531316159321,-1.3429044184789705,-3.31015216589975
-0.24882807017366976,-0.7392546532749296,-1.3786609145778896,-3.1027425505708885
-0.26261467931944865,-0.7702820787806385,-1.411852047856889,-2.894092633132277
-0.2767331997980175,-0.7992230051119612,-1.4422547693409509,-2.684953742065898
-0.29115574749142703,-0.8260725425326202,-1.4697287255349814,-2.475936982362787
-0.30585303474677683,-0.8508319123562481,-1.494201221798245,-2.2675449960083682
-0.3207950469647593,-0.8735073623163317,-1.51565395602335,-2.0601980167947334
-0.3359515865249928,-0.8941093424842791,-1.5341114896793198,-1.8542547554039637
